,Player,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
1326,Tarence Kinsey,11.43333333,1.666666667,3.733333333,0.442333333,0.233333333,0.666666667,0.367,1.433333333,3.066666667,0.459333333,0.48,0.933333333,1.1,0.832333333,0.366666667,0.933333333,1.3,0.433333333,0.533333333,0,0.566666667,0.966666667,4.433333333,18.85
1327,Vander Blue,17,1.8,5.766666667,0.333333333,0.333333333,1.9,0.066666667,1.466666667,3.866666667,0.45,0.344333333,0.5,1.533333333,0.366666667,0.333333333,1.566666667,1.9,1.633333333,0.566666667,0,1.433333333,0.9,4.433333333,9.693333333
1328,Justin Hamilton,13.62857143,1.671428571,3.557142857,0.395,0.342857143,1.071428571,0.277714286,1.357142857,2.5,0.455714286,0.440142857,0.728571429,0.842857143,0.751714286,0.928571429,1.4,2.342857143,0.528571429,0.685714286,0.442857143,0.657142857,1.257142857,4.428571429,16.73285714
1329,Bobby Brown,10.7125,1.7625,4.65,0.374375,0.6375,1.95,0.318,1.1625,2.7,0.42075,0.4445,0.325,0.3625,0.81575,0.15,0.525,0.6875,1.5125,0.2625,0.0125,0.8125,0.9125,4.425,20.8125
1330,Aaron Williams,13.27,1.755,3.495,0.4865,0,0.005,0.01665,1.755,3.47,0.48895,0.48655,0.925,1.255,0.6812,1.165,2.015,3.185,0.45,0.31,0.68,0.895,2.02,4.425,16.887
1331,Shake Milton,13.4,1.7,4.4,0.391,0.7,2.2,0.318,1,2.2,0.465,0.471,0.3,0.4,0.714,0.5,1.3,1.8,0.9,0.4,0.4,0.3,1.5,4.4,19.31
1332,Vítor Faverani,13.2,1.7,4,0.435,0.3,1.1,0.3,1.4,2.9,0.486,0.476,0.6,1,0.649,1.1,2.3,3.5,0.4,0.4,0.7,1.1,2,4.4,17.66
1333,Donatas Motiejunas,14.1,1.7,4.1,0.413,0.3,1.4,0.234,1.4,2.7,0.505,0.453,0.7,1.4,0.51,0.8,2.2,3,0.9,0.5,0.3,0.9,1.6,4.4,17.65
1334,Jevon Carter,14.8,1.4,4.7,0.303,0.9,2.6,0.333,0.6,2.1,0.265,0.395,0.7,0.8,0.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4,18.63
1335,Pierre Jackson,10.5,1.6,4.9,0.333,0.4,1.4,0.273,1.3,3.5,0.357,0.372,0.8,0.9,0.857,0.1,1,1.1,2.4,0.3,0,0.4,0.6,4.4,26.51
